yy,flag,eez,days,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt
1993,TW,I3,19.521,0,0,0,0,0,0
1993,TW,ID,257,230619,230.619,3039507,3039.507,1915702,1915.702
1993,TW,NR,1.220,0,0,0,0,0,0
1993,TW,PG,4743.630,3139821,3139.821,49105847,49105.847,18770038,18770.038
1993,TW,PH,28,0,0,58537,58.537,0,0
1993,TW,PW,50.023,13902,13.902,127766,127.766,103714,103.714
1993,TW,SB,4.880,0,0,0,0,0,0
1993,US,AS,30.666,0,0,0,0,0,0
1993,US,AU,0.989,0,0,0,0,0,0
1993,US,CK,0.989,0,0,0,0,0,0
1993,US,FJ,19.784,10905,10.905,371448,371.448,112691,112.691
1993,US,FM,205.756,94274,94.274,2241256,2241.256,1215138,1215.138
1993,US,GL,4190.299,4639777,4639.777,82561249,82561.249,25106882,25106.882
1993,US,GU,11.871,0,0,0,0,0,0
1993,US,H4,192.896,84263,84.263,3323576,3323.576,451255,451.255
1993,US,H5,0.989,0,0,0,0,0,0
1993,US,HB,485.703,535681,535.681,9402755,9402.755,2246112,2246.112
1993,US,I1,2.968,0,0,0,0,0,0
1993,US,I2,571.764,508960,508.960,7160043,7160.043,3038500,3038.500
1993,US,I4,458.994,488959,488.959,9786064,9786.064,2858800,2858.800
1993,US,I5,17.806,2729,2.729,163006,163.006,73628,73.628
1993,US,JV,1.978,0,0,0,0,0,0
1993,US,LN,0.989,0,0,0,0,0,0
1993,US,MH,96.943,54517,54.517,1324662,1324.662,384908,384.908
1993,US,NR,947.664,1196537,1196.537,13745102,13745.102,7466674,7466.674
1993,US,NZ,1,0,0,0,0,0,0
1993,US,PG,284.893,206069,206.069,2637656,2637.656,2128495,2128.495
1993,US,PX,525.271,17182,17.182,8343714,8343.714,513970,513.970
1993,US,SB,23.741,3689,3.689,146853,146.853,81071,81.071
1993,US,TK,24.730,2318,2.318,20561,20.561,12604,12.604
1993,US,TO,0.989,0,0,0,0,0,0
