yy,flag,eez,alb_kg,alb_mt,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt,oth_kg,oth_mt
1992,JP,MH,14734.958,14.735,3201110.005,3201.110,0,0,2852278.965,2852.279,0,0
1992,JP,NC,85642.947,85.643,6290.967,6.291,0,0,116797.076,116.797,0,0
1992,JP,NF,42499.996,42.500,19672.074,19.672,887,0.887,25434.946,25.435,0,0
1992,JP,NZ,325911.046,325.911,71105.860,71.106,3,0.003,389.991,0.390,0,0
1992,JP,PF,2550,2.550,26611.061,26.611,0,0,36131.890,36.132,0,0
1992,JP,PG,0,0,60905.074,60.905,0,0,47610.094,47.610,0,0
1992,JP,PH,179.961,0.180,1214.180,1.214,0,0,3736.057,3.736,0,0
1992,JP,PW,299.977,0.300,348966.105,348.966,0,0,325855.969,325.856,0,0
1992,JP,SB,266655.064,266.655,532030.846,532.031,0,0,1406552.112,1406.552,0,0
1992,KR,CK,582,0.582,7587,7.587,0,0,5646,5.646,0,0
1992,KR,FM,0,0,64151,64.151,0,0,18860,18.860,0,0
1992,KR,GL,13283,13.283,281426,281.426,0,0,428145,428.145,0,0
1992,KR,H4,8764,8.764,43293,43.293,24,0.024,49057,49.057,0,0
1992,KR,H5,9719,9.719,107470,107.470,0,0,92865,92.865,0,0
1992,KR,I1,0,0,1440,1.440,0,0,1140,1.140,0,0
1992,KR,I2,440,0.440,281952,281.952,0,0,77504,77.504,0,0
1992,KR,I3,0,0,47913,47.913,0,0,47410,47.410,0,0
1992,KR,I4,969432.500,969.433,7742242.500,7742.243,3474,3.474,5419591.564,5419.592,0,0
1992,KR,I5,969432.500,969.433,7742242.500,7742.243,3474,3.474,5419591.564,5419.592,0,0
1992,KR,I6,0,0,126,0.126,0,0,1857,1.857,0,0
1992,KR,I7,440,0.440,61,0.061,0,0,22,0.022,0,0
1992,KR,I9,83,0.083,128,0.128,0,0,951,0.951,0,0
1992,KR,IW,0,0,1100,1.100,0,0,480,0.480,0,0
1992,KR,LN,49398,49.398,627657,627.657,0,0,358455,358.455,0,0
1992,KR,MH,0,0,5604,5.604,0,0,5028,5.028,0,0
1992,KR,PF,73327,73.327,447933,447.933,0,0,175731,175.731,0,0
1992,KR,PX,79010,79.010,662436,662.436,0,0,634856,634.856,0,0
1992,KR,TV,16089,16.089,24238,24.238,28,0.028,35810,35.810,0,0
1992,MH,MH,0,0,6000,6,0,0,3000,3,0,0
1992,NC,I7,1967.550,1.968,229.861,0.230,0,0,849.922,0.850,0,0
1992,NC,NC,690032.450,690.032,26770.139,26.770,0,0,372150.078,372.150,0,0
1992,NZ,I7,1533.291,1.533,134.562,0.135,0,0,0,0,0,0
1992,NZ,NZ,207466.709,207.467,38865.438,38.865,0,0,13000,13,0,0
1992,PF,PF,195000,195,57000,57,7000,7,150000,150,0,0
1992,PH,PH,0,0,59000,59,0,0,484000,484,0,0
1992,PW,PW,0,0,90000,90,0,0,48000,48,0,0
1992,TO,I7,57817.442,57.817,1159.598,1.160,336.700,0.337,1712.547,1.713,0,0
1992,TO,TO,141182.558,141.183,3840.402,3.840,1663.300,1.663,17287.453,17.287,0,0
1992,TW,CK,129571,129.571,17693,17.693,0,0,20747,20.747,0,0
1992,TW,FJ,150480,150.480,1360,1.360,4,0.004,6991,6.991,0,0
1992,TW,FM,855,0.855,1058499,1058.499,0,0,1104574,1104.574,0,0
1992,TW,H5,1754,1.754,6018,6.018,0,0,1773,1.773,0,0
