"","eez","Dist"
"517","Palau",123307.059623292
"518","Marshall Islands",62124.8148521092
"519","Papua New Guinea",24355.0497167141
"520","Papua New Guinea",58613.609603282
"521","Micronesia",96779.3042178236
"522","Jarvis Island",8564.29233088719
"523","Line Group",6646.19187802022
"524","Gilbert Islands",26417.9860515651
"525","Line Group",27830.9004586323
"526","Marshall Islands",48401.9659567506
"527","French Polynesia",179359.784912144
"528","Palmyra Atoll",117957.63900103
"529","Johnston Atoll",19431.7655116466
"530","Line Group",41493.2558280495
"531","Line Group",26556.103414105
"532","Palmyra Atoll",117066.460907411
"533","Gilbert Islands",14900.5560240657
"534","Papua New Guinea",99247.6603563259
"535","Philippines",69323.3713019464
"536","Hawaii",183252.317028211
"537","Japan",166473.856684127
"538","Hawaii",8426.15810775765
"539","Line Group",152474.210411782
"540","Tuvalu",44948.576610144
"541","Phoenix Group",145740.506529392
"542","Johnston Atoll",69759.6439121327
"543","Gilbert Islands",139514.547913463
"544","Japan",135450.395831419
"545","Line Group",96626.4899527499
"546","Wake Island",91010.5424396111
"547","Fiji",20393.387709209
"548","Japan",41348.5826660608
"549","Howland and Baker islands",69924.4982231527
"550","Tuvalu",68990.627300554
"551","Northern Mariana Islands",11775.9170849383
"552","Phoenix Group",116686.504399549
"553","French Polynesia",140056.087606244
"554","Micronesia",76072.3934108843
"555","Marshall Islands",123626.710529174
"556","Marshall Islands",87779.341108031
"557","Philippines",177463.583572094
"558","French Polynesia",89109.1380776178
"559","Cook Islands",3917.21546320511
"560","Marshall Islands",155173.236288677
"561","French Polynesia",6898.17591775396
"562","Johnston Atoll",130984.410875515
"563","Johnston Atoll",129657.900260451
"564","Tuvalu",69427.3922401425
"565","Tuvalu",37934.578996576
"566","French Polynesia",40279.7967766355
"567","Phoenix Group",85979.4187413564
"568","Johnston Atoll",88897.1783884944
"569","Philippines",41123.8787915722
"570","French Polynesia",26652.1388166582
"571","Johnston Atoll",165070.975248996
"572","Palau",99215.7097868771
"573","Jarvis Island",43017.0354372594
"574","Marshall Islands",149312.368097209
"575","French Polynesia",124583.215919909
"576","Hawaii",148840.753432289
"577","Cook Islands",145232.557978894
"578","Palau",167337.186714072
"579","Marshall Islands",162589.431834218
"580","Micronesia",165287.370062091
"581","Jarvis Island",97256.8075129698
"582","Micronesia",52483.9972308137
"583","Nauru",146132.555618064
"584","Johnston Atoll",47990.5871689811
"585","Hawaii",25271.1675704055
"586","Howland and Baker islands",55032.1979596328
"587","Nauru",85265.9256025497
"588","Marshall Islands",139617.838125201
"589","Wake Island",42353.858989059
"590","French Polynesia",136606.449963852
"591","Marshall Islands",103968.281088189
"592","French Polynesia",34528.8430052018
"593","French Polynesia",148399.614718786
"594","Philippines",109345.933453099
"595","Solomon Islands",18267.6612087321
"596","Micronesia",62417.4321609004
"597","Johnston Atoll",36316.3566846779
"598","Papua New Guinea",23952.9103449625
"599","Papua New Guinea",41167.2106626132
"600","Phoenix Group",15031.7021090577
"601","Micronesia",99512.1157626343
"602","Micronesia",162410.537346873
"603","Jarvis Island",89544.5995904384
"604","French Polynesia",136096.864497775
"605","French Polynesia",9568.9554409764
"606","Philippines",98547.0779886808
"607","Solomon Islands",101616.354533204
"608","Marshall Islands",122690.822456221
"609","Solomon Islands",30983.7074652551
"610","Howland and Baker islands",4744.9137533489
"611","Marshall Islands",92462.128816125
"612","Line Group",132077.885032321
"613","Wake Island",42781.0780244049
"614","Hawaii",103199.652862082
"615","Johnston Atoll",21976.4918844544
"616","Micronesia",135495.311878747
"617","Marshall Islands",93632.45820091
"618","Marshall Islands",2124.26321852397
"619","Palau",50929.905870606
"620","Solomon Islands",163197.699640431
