"","eez","Dist"
"694","Marshall Islands",553532.016267106
"695","Johnston Atoll",731715.152296263
"696","Northern Mariana Islands",302252.627736181
"697","Palau",195829.507951292
"698","Papua New Guinea",19210.659417303
"699","Marshall Islands",357104.248790199
"700","Wake Island",21928.439044754
"701","Hawaii",402225.617600805
"702","Philippines",273266.583820768
"703","Line Group",2869.89216096775
"704","Palmyra Atoll",275852.079853666
"705","Papua New Guinea",33198.5898498354
"706","Hawaii",16210.7991528482
"707","Hawaii",180835.944986062
"708","Marshall Islands",156099.035203668
"709","Northern Mariana Islands",315578.362996184
"710","Marshall Islands",259331.491739391
"711","French Polynesia",45284.5445417918
"712","Papua New Guinea",149022.001330366
"713","Palau",188315.281281755
"714","Wake Island",176480.074603677
"715","French Polynesia",478274.821614866
"716","Northern Mariana Islands",52124.316999444
"717","Marshall Islands",693871.263304235
"718","Tuvalu",9329.31901562437
"719","French Polynesia",567068.267592435
"720","French Polynesia",386639.626401052
"721","Gilbert Islands",140364.451647797
"722","Marshall Islands",702850.539631101
"723","Phoenix Group",257317.46360352
"724","Palmyra Atoll",385282.501149174
"725","Northern Mariana Islands",65982.692613207
"726","Palmyra Atoll",47644.3956026301
"727","Howland and Baker islands",164628.887281803
"728","Marshall Islands",327795.551024134
"729","Line Group",104445.042566657
"730","Papua New Guinea",26124.5032050766
"731","Palmyra Atoll",226961.261079374
"732","Marshall Islands",764845.237906286
"733","Howland and Baker islands",456351.177114576
"734","Line Group",451354.077159977
"735","Japan",277027.26349219
"736","Philippines",10523.2219554282
"737","Line Group",344081.865604634
"738","French Polynesia",162182.546926107
"739","Johnston Atoll",390087.172905725
"740","Palmyra Atoll",48944.1340801975
"741","Jarvis Island",169375.615104328
"742","French Polynesia",493187.681801739
"743","Micronesia",217991.354289999
"744","Johnston Atoll",430100.279489445
"745","Nauru",27538.4615520431
"746","Howland and Baker islands",324119.123864051
"747","Marshall Islands",106254.755130477
"748","Marshall Islands",208865.346134306
"749","Wake Island",517016.931691549
"750","Gilbert Islands",333607.875809278
"751","Marshall Islands",605129.394451654
"752","Cook Islands",87732.2469379562
"753","Hawaii",65328.8565048388
"754","Palmyra Atoll",214347.156232074
"755","French Polynesia",313820.99897496
"756","Hawaii",54128.5813975864
"757","Solomon Islands",48285.4723950428
"758","Line Group",221838.254615173
"759","Marshall Islands",499440.244095218
"760","Micronesia",52031.9016360937
"761","French Polynesia",181522.797999878
"762","Jarvis Island",154675.653081052
"763","Palmyra Atoll",378931.693729156
"764","Tuvalu",176787.135329981
"765","Gilbert Islands",148922.952353164
"766","Philippines",270435.566906562
"767","Line Group",154330.150998593
"768","Johnston Atoll",363412.392378609
"769","Line Group",190140.003100648
"770","Johnston Atoll",153655.9081285
"771","Hawaii",241513.996019774
"772","Phoenix Group",77686.4120874506
"773","Johnston Atoll",180742.051664537
"774","Hawaii",42509.8626333423
"775","Palmyra Atoll",298491.66289154
"776","Palau",190431.858323937
"777","French Polynesia",311057.439363479
"778","Palmyra Atoll",328606.346597916
"779","Indonesia",16295.7277490427
"780","Gilbert Islands",150674.644757635
"781","Johnston Atoll",506935.472011089
"782","Palmyra Atoll",254069.181983635
"783","Line Group",535190.638966482
"784","Hawaii",338090.760743031
"785","Cook Islands",150673.641426923
