FID,country,name,subcountry,id,Aire_CydEA,ORIG_FID,POINT_X,POINT_Y
32,NC,New Caledonia,NC,17,1100182,3,156.6246948,-18.93157959
33,NC,New Caledonia,NC,17,1100182,3,156.9456787,-18.5402832
34,NC,New Caledonia,NC,17,1100182,3,157.3665161,-17.91101074
35,NC,New Caledonia,NC,17,1100182,3,157.6419067,-17.50769043
36,NC,New Caledonia,NC,17,1100182,3,158.2739258,-16.58081055
37,NC,New Caledonia,NC,17,1100182,3,158.3803101,-16.42510986
38,NC,New Caledonia,NC,17,1100182,3,158.7609253,-15.73529053
39,NC,New Caledonia,NC,17,1100182,3,160.2498779,-16.13299561
40,NC,New Caledonia,NC,17,1100182,3,163.3057251,-14.76940918
41,NC,New Caledonia,NC,17,1100182,3,164.6500854,-17
42,NC,New Caledonia,NC,17,1100182,3,169.5001221,-21.5
43,NC,New Caledonia,NC,17,1100182,3,170.0333252,-21.63330078
NA,NA,NA,NA,NA,NA,NA,NA,NA
230,NR,Nauru,NR,18,308261.8088,4,168.5875244,1.767272949
231,NR,Nauru,NR,18,308261.8088,4,167.8168945,-3.768676758
232,NR,Nauru,NR,18,308261.8088,4,167.7822876,-3.777709961
233,NR,Nauru,NR,18,308261.8088,4,167.7736816,-3.780212402
234,NR,Nauru,NR,18,308261.8088,4,167.7647095,-3.782409668
235,NR,Nauru,NR,18,308261.8088,4,167.7561035,-3.784423828
236,NR,Nauru,NR,18,308261.8088,4,167.7474976,-3.786682129
237,NR,Nauru,NR,18,308261.8088,4,167.7388916,-3.788879395
238,NR,Nauru,NR,18,308261.8088,4,167.7302856,-3.79107666
239,NR,Nauru,NR,18,308261.8088,4,167.7214966,-3.793029785
240,NR,Nauru,NR,18,308261.8088,4,167.7128906,-3.795288086
241,NR,Nauru,NR,18,308261.8088,4,167.7042847,-3.797180176
242,NR,Nauru,NR,18,308261.8088,4,167.6953125,-3.799194336
243,NR,Nauru,NR,18,308261.8088,4,167.6867065,-3.801391602
244,NR,Nauru,NR,18,308261.8088,4,167.6781006,-3.803283691
245,NR,Nauru,NR,18,308261.8088,4,167.6693115,-3.805297852
246,NR,Nauru,NR,18,308261.8088,4,167.6607056,-3.807189941
247,NR,Nauru,NR,18,308261.8088,4,167.6516724,-3.809082031
248,NR,Nauru,NR,18,308261.8088,4,167.6431274,-3.811096191
249,NR,Nauru,NR,18,308261.8088,4,167.6345215,-3.812805176
250,NR,Nauru,NR,18,308261.8088,4,167.6254883,-3.814697266
251,NR,Nauru,NR,18,308261.8088,4,167.6166992,-3.816589355
252,NR,Nauru,NR,18,308261.8088,4,167.6080933,-3.81829834
253,NR,Nauru,NR,18,308261.8088,4,167.5993042,-3.820007324
254,NR,Nauru,NR,18,308261.8088,4,167.5906982,-3.821899414
255,NR,Nauru,NR,18,308261.8088,4,167.5817261,-3.823608398
256,NR,Nauru,NR,18,308261.8088,4,167.5731201,-3.825195313
257,NR,Nauru,NR,18,308261.8088,4,167.56427,-3.826904297
258,NR,Nauru,NR,18,308261.8088,4,167.5557251,-3.828613281
259,NR,Nauru,NR,18,308261.8088,4,167.5466919,-3.830200195
260,NR,Nauru,NR,18,308261.8088,4,167.5379028,-3.83190918
261,NR,Nauru,NR,18,308261.8088,4,167.5292969,-3.833312988
262,NR,Nauru,NR,18,308261.8088,4,167.5203247,-3.835021973
263,NR,Nauru,NR,18,308261.8088,4,167.5114746,-3.836608887
264,NR,Nauru,NR,18,308261.8088,4,167.5029297,-3.838012695
265,NR,Nauru,NR,18,308261.8088,4,167.4938965,-3.839416504
266,NR,Nauru,NR,18,308261.8088,4,167.4851074,-3.841125488
267,NR,Nauru,NR,18,308261.8088,4,167.4760742,-3.842529297
268,NR,Nauru,NR,18,308261.8088,4,167.4675293,-3.843811035
269,NR,Nauru,NR,18,308261.8088,4,167.4586792,-3.845275879
270,NR,Nauru,NR,18,308261.8088,4,167.449707,-3.846679688
271,NR,Nauru,NR,18,308261.8088,4,167.440918,-3.848083496
272,NR,Nauru,NR,18,308261.8088,4,167.4318848,-3.84942627
273,NR,Nauru,NR,18,308261.8088,4,167.4232788,-3.850585938
274,NR,Nauru,NR,18,308261.8088,4,167.4144897,-3.851928711
275,NR,Nauru,NR,18,308261.8088,4,167.4055176,-3.853027344
276,NR,Nauru,NR,18,308261.8088,4,167.3967285,-3.854309082
277,NR,Nauru,NR,18,308261.8088,4,167.3878784,-3.855529785
278,NR,Nauru,NR,18,308261.8088,4,167.3789063,-3.856689453
279,NR,Nauru,NR,18,308261.8088,4,167.3701172,-3.857788086
280,NR,Nauru,NR,18,308261.8088,4,167.361084,-3.859191895
281,NR,Nauru,NR,18,308261.8088,4,167.352478,-3.860290527
282,NR,Nauru,NR,18,308261.8088,4,167.343689,-3.861083984
283,NR,Nauru,NR,18,308261.8088,4,167.3347168,-3.862182617
284,NR,Nauru,NR,18,308261.8088,4,167.3259277,-3.86328125
285,NR,Nauru,NR,18,308261.8088,4,167.3168945,-3.864379883
286,NR,Nauru,NR,18,308261.8088,4,167.3081055,-3.86529541
287,NR,Nauru,NR,18,308261.8088,4,167.2993164,-3.866394043
288,NR,Nauru,NR,18,308261.8088,4,167.2902832,-3.8671875
289,NR,Nauru,NR,18,308261.8088,4,167.2814941,-3.867980957
290,NR,Nauru,NR,18,308261.8088,4,167.272522,-3.86907959
291,NR,Nauru,NR,18,308261.8088,4,167.2636719,-3.869995117
292,NR,Nauru,NR,18,308261.8088,4,167.2546997,-3.870788574
293,NR,Nauru,NR,18,308261.8088,4,167.2459106,-3.871582031
294,NR,Nauru,NR,18,308261.8088,4,167.2368774,-3.872497559
295,NR,Nauru,NR,18,308261.8088,4,167.2280884,-3.87298584
296,NR,Nauru,NR,18,308261.8088,4,167.2192993,-3.873901367
297,NR,Nauru,NR,18,308261.8088,4,167.2103271,-3.874694824
298,NR,Nauru,NR,18,308261.8088,4,167.2011108,-3.875305176
299,NR,Nauru,NR,18,308261.8088,4,167.1923218,-3.876098633
300,NR,Nauru,NR,18,308261.8088,4,167.1832886,-3.876586914
301,NR,Nauru,NR,18,308261.8088,4,167.1744995,-3.877197266
302,NR,Nauru,NR,18,308261.8088,4,167.1657104,-3.877807617
303,NR,Nauru,NR,18,308261.8088,4,167.1566772,-3.878295898
304,NR,Nauru,NR,18,308261.8088,4,167.1478882,-3.87890625
305,NR,Nauru,NR,18,308261.8088,4,167.138916,-3.879394531
306,NR,Nauru,NR,18,308261.8088,4,167.130127,-3.880004883
307,NR,Nauru,NR,18,308261.8088,4,167.1210938,-3.880493164
308,NR,Nauru,NR,18,308261.8088,4,167.1118774,-3.881103516
309,NR,Nauru,NR,18,308261.8088,4,167.1030884,-3.881408691
310,NR,Nauru,NR,18,308261.8088,4,167.0942993,-3.881896973
311,NR,Nauru,NR,18,308261.8088,4,167.0853271,-3.882202148
312,NR,Nauru,NR,18,308261.8088,4,167.0764771,-3.882507324
313,NR,Nauru,NR,18,308261.8088,4,167.0675049,-3.882995605
314,NR,Nauru,NR,18,308261.8088,4,167.0587158,-3.883300781
315,NR,Nauru,NR,18,308261.8088,4,167.0494995,-3.883605957
316,NR,Nauru,NR,18,308261.8088,4,167.0407104,-3.883911133
317,NR,Nauru,NR,18,308261.8088,4,167.0316772,-3.884094238
318,NR,Nauru,NR,18,308261.8088,4,167.0228882,-3.884094238
319,NR,Nauru,NR,18,308261.8088,4,167.013916,-3.884399414
320,NR,Nauru,NR,18,308261.8088,4,167.005127,-3.88470459
321,NR,Nauru,NR,18,308261.8088,4,166.9960938,-3.88470459
322,NR,Nauru,NR,18,308261.8088,4,166.9868774,-3.885009766
323,NR,Nauru,NR,18,308261.8088,4,166.9780884,-3.885009766
324,NR,Nauru,NR,18,308261.8088,4,166.9692993,-3.885009766
325,NR,Nauru,NR,18,308261.8088,4,166.9603271,-3.885009766
326,NR,Nauru,NR,18,308261.8088,4,166.9514771,-3.885009766
327,NR,Nauru,NR,18,308261.8088,4,166.9425049,-3.885192871
328,NR,Nauru,NR,18,308261.8088,4,166.9332886,-3.885009766
329,NR,Nauru,NR,18,308261.8088,4,166.9244995,-3.885009766
330,NR,Nauru,NR,18,308261.8088,4,166.9157104,-3.885009766
331,NR,Nauru,NR,18,308261.8088,4,166.9066772,-3.885009766
332,NR,Nauru,NR,18,308261.8088,4,166.8978882,-3.88470459
333,NR,Nauru,NR,18,308261.8088,4,166.888916,-3.88470459
334,NR,Nauru,NR,18,308261.8088,4,166.8796997,-3.884399414
335,NR,Nauru,NR,18,308261.8088,4,166.8709106,-3.884094238
336,NR,Nauru,NR,18,308261.8088,4,166.8618774,-3.884094238
337,NR,Nauru,NR,18,308261.8088,4,166.8530884,-3.883911133
338,NR,Nauru,NR,18,308261.8088,4,166.8442993,-3.883605957
339,NR,Nauru,NR,18,308261.8088,4,166.8353271,-3.883300781
340,NR,Nauru,NR,18,308261.8088,4,166.8261108,-3.882995605
341,NR,Nauru,NR,18,308261.8088,4,166.8173218,-3.882507324
342,NR,Nauru,NR,18,308261.8088,4,166.8082886,-3.882202148
343,NR,Nauru,NR,18,308261.8088,4,166.7994995,-3.881896973
344,NR,Nauru,NR,18,308261.8088,4,166.7907104,-3.881408691
345,NR,Nauru,NR,18,308261.8088,4,166.7816772,-3.881103516
346,NR,Nauru,NR,18,308261.8088,4,166.7728882,-3.880493164
347,NR,Nauru,NR,18,308261.8088,4,166.763916,-3.880004883
348,NR,Nauru,NR,18,308261.8088,4,166.7546997,-3.879699707
349,NR,Nauru,NR,18,308261.8088,4,166.7459106,-3.879089355
350,NR,Nauru,NR,18,308261.8088,4,166.7351074,-3.878601074
351,NR,Nauru,NR,18,308261.8088,4,166.7243042,-3.877990723
352,NR,Nauru,NR,18,308261.8088,4,166.7130737,-3.877197266
353,NR,Nauru,NR,18,308261.8088,4,166.7022705,-3.876586914
354,NR,Nauru,NR,18,308261.8088,4,166.6911011,-3.876098633
355,NR,Nauru,NR,18,308261.8088,4,166.6802979,-3.875305176
356,NR,Nauru,NR,18,308261.8088,4,166.6694946,-3.874389648
357,NR,Nauru,NR,18,308261.8088,4,166.6583252,-3.873596191
